expr;time;;;;
E1_Lista_Purrr_Dplyr;217115700;;;;
E3_Lista_Purrr_Data.table;276167702;;;Etiquetas de fila;Promedio de time
E4_Apiladas_Data.table;775147202;;;E1_Lista_Purrr_Dplyr;260319340,4
E2_Apiladas_Dplyr;547911702;;;E2_Apiladas_Dplyr;369360421,2
E4_Apiladas_Data.table;595868101;;;E3_Lista_Purrr_Data.table;514985501,2
E4_Apiladas_Data.table;787219001;;;E4_Apiladas_Data.table;694883941,2
E1_Lista_Purrr_Dplyr;261813300;;;Total general;459887301
E2_Apiladas_Dplyr;229131702;;;;
E3_Lista_Purrr_Data.table;442833601;;;;
E3_Lista_Purrr_Data.table;651124701;;;;
E3_Lista_Purrr_Data.table;904905601;;;;
E2_Apiladas_Dplyr;398078801;;;;
E3_Lista_Purrr_Data.table;299895901;;;;
E1_Lista_Purrr_Dplyr;284103100;;;;
E4_Apiladas_Data.table;645767802;;;;
E1_Lista_Purrr_Dplyr;235526201;;;;
E2_Apiladas_Dplyr;334164201;;;;
E2_Apiladas_Dplyr;337515700;;;;
E4_Apiladas_Data.table;670417600;;;;
E1_Lista_Purrr_Dplyr;303038401;;;;
